"planet_idx"	"PLANET"	"Star_number"	"MASS"	"DENSITY (EARTH)"	"Radius"	"TERRAIN"	"CLIMATE"
448	"Markab Octal"	9999	1.96	1.145	1.2	"rocky island"	"rocky, tropical, frozen, windy"
449	"Hoshizora Seraph Si"	5416	4.2	0.927	1.65	"scrubland, rocky canyon, rocky desert"	"artificial temperate, temperate, rocky, arid, subartic"
450	"Hoshizora Seraph Liu"	5416	na	0.713	2.19	"valley"	"artificial temperate"
451	"Hoshizora Seraph Jiu"	5416	1.72	0.977	1.21	"rocky island, verdant, cave"	"temperate, arid, tropical, hot, frozen"
452	"Canopus Omega"	563	2.58	1.353	1.24	"canyons, rock arche, hill, ice canyon"	"frozen, artic, subartic, artificial temperate"
453	"Hikari Gaze II"	9557	1.55	0.882	1.21	"cave"	"windy, frozen, humid"
454	"Thalassa's Shroud XXIV"	4839	3.43	0.723	1.68	"valley, rocky desert"	"artic"
455	"Matar Pi"	9253	6.36	0.791	2	"tundra, sea, lakes"	"frigid, windy, temperate"
456	"Matar Epsilon"	9253	8.28	0.498	2.55	"field"	"frigid, temperate, windy, tropical, hot"
457	"Nihal Wu"	4407	1.73	0.647	1.39	"cliff, river, lakes, fungus forest"	"artificial temperate, hot, subartic, frigid, arid"
458	"Nihal San"	4407	6.27	0.727	2.05	"valley, hill, tundra, urban, forest"	"frozen, artificial temperate, frigid"
459	"Zenitharian Tertial"	4907	6.46	0.875	1.95	"river, reef, volcano, fungus forest, cliff, grassy hill, island"	"superheated, tropical, subartic, humid, frozen"
460	"Caph Septimal"	1564	1.99	0.837	1.33	"cave, rock arche, rocky canyon, plateau, vine"	"frigid, subartic, arid"
461	"Caph Vigesimal"	1564	4.16	0.737	1.78	"river, cave, mountain, ocean, acid pool"	"frigid, rocky, subartic"
462	"Ravenfury Duodecimal"	1622	0.8	1.311	0.85	"ash, cave"	"frigid, superheated, artic"
463	"Ravenfury Octal"	1622	6.68	0.714	2.11	"lakes, glacier, hill, cityscape"	"windy, artificial temperate, hot, subartic"
464	"Nebularian Si"	1744	9.23	0.919	2.16	"cave"	"artic, superheated, hot, artificial temperate"
465	"Nova Prism II"	6781	1.82	0.763	1.34	"bog, forest, cave, reef"	"artificial temperate, subartic, hot"
466	"Radiantara Aetherios"	6941	2.99	1.212	1.35	"lava river, island, fungus forest, tundra, valley, glacier"	"subartic, arid, artic, superheated, rocky, humid"
467	"Mirach Beta"	3011	2.86	1.02	1.41	"bog"	"humid, temperate, frozen, superheated, windy, artificial temperate, subartic"
468	"Phantasmal Echo Aphroditos"	7295	1.8	0.674	1.39	"forest, river, tundra, glacier"	"rocky, artificial temperate, frigid, temperate"
469	"Phantasmal Echo Centaurios"	7295	na	1.332	1.54	"cave"	"artic, frigid, temperate"
470	"Phantasmal Echo Olympus"	7295	8.33	0.867	2.13	"field, grassy hill"	"superheated, temperate"
471	"Phantasmal Echo Demetrian"	7295	5.2	1.256	1.61	"sinkholes, canyons, mountain, hill"	"rocky, superheated, frigid, windy"
472	"Eagleeye Chi"	3284	6.89	1.258	1.76	"grassy hill, field, canyons, city, glacier, verdant"	"frozen, artic, temperate, arid"
473	"Eagleeye Kappa"	3284	5.41	1.019	1.74	"swamp"	"rocky, humid, hot"
474	"Solaraflux Secant"	9884	0.59	1.375	0.75	"bog, field, rock arche, ice cave, hill, plain"	"tropical, rocky, humid, superheated, frozen, temperate, windy"
475	"Aniara XII"	8248	1.51	0.661	1.32	"rock arche"	"rocky, windy"
476	"Aniara V"	8248	1.76	0.998	1.21	"plain"	"frigid, temperate, rocky, humid, windy"
477	"Aniara XIX"	8248	1.44	1.019	1.12	"city, forest, grassland"	"arid, tropical, rocky, humid"
478	"Aniara XIII"	8248	9.77	0.9	2.21	"cave"	"hot, rocky, tropical, artic"
479	"Atlas Prime"	8821	1.3	1.054	1.07	"urban"	"frigid, frozen"
480	"Atlas Octal"	8821	7.89	1.277	1.83	"rock arche"	"artificial temperate"
481	"Atlas Septimal"	8821	7.84	1.09	1.93	"hill, plain, rainforest, toxic cloudsea"	"tropical, frigid, artic, frozen"
482	"Cerulean Abyss Selenean"	4669	5.42	0.664	2.01	"reef, hill, glacier, verdant, sea, ice canyon"	"subartic, temperate, frigid, arid"
483	"Cosmoth Phi"	3329	1.18	1.044	1.04	"acid pool, verdant, grassy hill, hill, cityscape"	"superheated, humid, arid"
484	"Mira Delta"	7505	0.84	0.857	0.99	"forest, grassland"	"frozen, temperate, arid"
485	"Mira Epsilon"	7505	6.82	1.229	1.77	"rock arche, plateau, reef, rocky desert, ice cave, grassland, rocky island, savanna, valley"	"subartic, arid, windy, rocky, artic, temperate, artificial temperate"
486	"Vortexara X"	3835	2.7	1.321	1.27	"lava river, hill"	"artic, tropical, arid, artificial temperate, superheated, windy"
487	"Vortexara XVI"	3835	na	1.261	1.11	"plain, glacier, island"	"artic, humid, superheated, hot"
488	"Vortexara XXIV"	3835	7.37	0.974	1.96	"rocky canyon, verdant, plateau"	"subartic, tropical, humid, windy, frozen"
489	"Setsuna Liu"	8760	3.02	1.291	na	"ash"	"hot, windy, artic, subartic"
490	"Setsuna Shi"	8760	1.31	0.907	1.13	"bog, cave, sea"	"hot, rocky"
491	"Zibal Phi"	1315	2.04	1.383	1.14	"sea, cliff, barren, swamp"	"humid, superheated, arid"
492	"Horus' Ascendance Artemian"	9605	7.02	1.072	1.87	"city, valley, rock arche"	"superheated, rocky"
493	"Geminga Hermesios"	2486	1.91	1.294	na	"cliff, city, river, canyons, hill, urban"	"arid, artic, frigid, superheated, rocky"
494	"Geminga Gaian"	2486	2.18	1.093	1.26	"lava river, ice canyon, lakes, mountain, cliff"	"artic, artificial temperate, rocky, arid"
495	"Tevel Apollox"	2028	1.79	0.605	1.44	"acid pool"	"tropical, humid, rocky, windy"
496	"Enigmatic Abyss XXIV"	5875	2.48	0.909	1.4	"vine, field, rocky canyon"	"artificial temperate, temperate, arid"
497	"Enigmatic Abyss XVII"	5875	0.81	1.173	0.88	"swamp, jungle, city, tundra, hill, grassy hill, field"	"artificial temperate, hot, subartic, frigid, superheated, tropical"
498	"Enigmatic Abyss XX"	5875	5.3	1.347	1.58	"valley, city, scrubland, rocky island, rainforest, mountain"	"humid, subartic, frozen, arid"
499	"Frostbeard XIV"	1993	2.09	0.876	1.34	"island, lava river, ice cave"	"superheated, artic, frigid, frozen, rocky"
500	"Frostbeard XI"	1993	0.35	1.14	0.67	"mountain, ice canyon, tundra, rocky desert, plateau"	"frozen, subartic, superheated, windy"
501	"Celestial Cascade Artemian"	8466	2.81	1.116	1.36	"rock arche"	"arid, windy"
502	"Frostbloom Prime"	6795	6.69	0.754	2.07	"urban, jungle, river"	"humid, artic, rocky, tropical"
503	"Algol Harpian"	2362	7.98	1.208	1.88	"forest, vine, verdant, plateau"	"temperate, frigid, tropical, artic"
504	"Algol Asclepian"	2362	3.35	1.437	1.33	"fungus forest, hill, city, rocky desert, sea"	"tropical, superheated, frigid, frozen, artic"
505	"Dschubba VI"	1932	1.09	0.91	1.06	"city, field, river"	"frozen, arid, frigid, temperate, hot"
506	"Dschubba XXII"	1932	1.08	0.919	1.06	"glacier"	"frigid, windy, temperate, artic, hot"
507	"Dschubba XXIII"	1932	0.88	1.044	0.94	"volcano, desert, toxic cloudsea, hill"	"windy, arid, frozen, subartic"
508	"Phantasmal Abyss Eosian"	7053	3.57	1.144	1.46	"river, glacier, plain"	"artic, arid, windy, artificial temperate, subartic, temperate, superheated"
509	"Phantasmal Abyss Hermesios"	7053	1.7	1.218	1.12	"tundra, hill, island, plain, mountain"	"subartic, artic, tropical"
510	"Phantasmal Abyss Olympios"	7053	4.26	0.696	1.83	"ocean, verdant, cave, rock arche"	"humid, hot, artic, artificial temperate"
511	"Elysian Nebula XV"	4056	9.06	0.631	2.43	"scrubland, tundra, field, savanna, cliff, hill, acid pool, desert"	"tropical, frozen, subartic, rocky, arid, superheated"
512	"Elysian Nebula XVIII"	4056	9.11	0.828	2.22	"verdant, cityscape, rock arche, savanna, canyons, forest, grassy hill, vine"	"artificial temperate, frigid, subartic, temperate, superheated"
513	"Axeheart Undecimal"	4334	1.57	1.333	1.06	"cliff"	"humid, arid, tropical, superheated"
514	"Axeheart Quartal"	4334	7.86	1.302	na	"island, desert"	"arid, frigid, rocky, windy, subartic, humid, artificial temperate"
515	"Thunderforge Aphroditos"	2462	2.53	1.214	1.28	"verdant"	"temperate, tropical, arid, artificial temperate, superheated, humid, subartic"
516	"Thunderforge Eosian"	2462	0.83	1.056	0.92	"bog, vine, mountain, field, island"	"artificial temperate, temperate, frozen"
517	"Thunderforge Zephyrian"	2462	1.03	1.184	0.95	"verdant, acid pool, rocky desert"	"temperate, humid, arid"
518	"Albali VI"	6634	1.45	0.702	1.27	"bog"	"artificial temperate, temperate"
519	"Luminous Ember Qi"	3700	9.28	0.77	2.29	"canyons, hill"	"rocky"
520	"Luminous Ember Shi"	3700	4.76	0.644	1.95	"urban, island"	"frigid, windy, rocky"
521	"Aetherionis XVIII"	8589	1.73	0.87	1.26	"canyons, hill, reef"	"temperate, rocky"
522	"Elgafar Nereidos"	5410	7.09	0.978	1.94	"fungus forest, grassland, ocean, forest, plateau"	"hot, windy, subartic, humid"
523	"Quasarionix Qi"	8028	2.42	1.151	1.28	"grassland, lakes, swamp, valley"	"humid, superheated, frigid"
524	"Quasarionix Yi"	8028	2.3	1.284	1.21	"urban, rocky desert"	"rocky, artificial temperate, humid, superheated, frigid, hot"
525	"Quasarionix Ba"	8028	1.25	1.231	1	"island, savanna, mountain, city, ice cave, lakes, rocky island, desert, urban"	"frozen, hot, rocky, artificial temperate, tropical, subartic"
526	"Ainalrami VIII"	7913	na	1.504	0.68	"cliff"	"windy, humid"
527	"Isis' Labyrinth Er"	159	3.4	0.779	1.63	"sinkholes, mountain, ash"	"subartic, frozen, superheated, tropical, artic, frigid"
528	"Isis' Labyrinth Liu"	159	2.77	1.121	1.35	"grassland, jungle"	"hot, superheated, temperate, humid"
529	"Alnilam Hermian"	3820	1.7	1.081	1.16	"city, rock arche"	"windy, temperate"
530	"Alnilam Typhonian"	3820	0.86	1.107	0.92	"vine, cave, plateau"	"frozen, superheated, rocky"
531	"Kalausi Sigma"	480	2.24	1.013	1.3	"mountain, lava river"	"arid"
532	"Syrma Irisian"	2988	9.48	0.631	2.47	"desert, scrubland, cliff, plateau, rocky island"	"humid, arid, rocky, frigid, artificial temperate"
533	"Syrma Apollox"	2988	1.38	0.975	1.12	"verdant, city"	"frigid, frozen, tropical"
534	"Celestial Ember XX"	7450	4.98	0.999	1.71	"barren"	"arid"
535	"Celestial Ember XVIII"	7450	1.92	0.635	1.45	"verdant, rocky island, rock arche, rocky canyon, grassy hill, city"	"superheated, rocky, frozen, windy, arid, humid"
536	"Celestial Ember X"	7450	1.6	0.984	1.18	"cityscape"	"rocky, arid, superheated, windy, frozen"
537	"Celestial Ember IV"	7450	2.99	1.213	1.35	"island, sea, lakes, verdant"	"windy, tropical, artic, frozen"
538	"La Superba Janusian"	5285	4.25	0.913	1.67	"rock arche, cave"	"rocky, frozen, temperate, tropical"
539	"Sualocin Qi"	869	1.34	0.959	1.12	"lava river, canyons"	"frigid, superheated, humid, temperate"
540	"Sualocin Ba"	869	3.26	1.229	1.38	"reef, ice cave, forest, ice canyon, cityscape, volcano, verdant"	"artificial temperate, subartic, temperate, arid, frigid, windy, artic"
541	"Arneb Yi"	1018	2.29	0.893	1.37	"island, vine, cliff, ice canyon, rock arche"	"humid, subartic, tropical"
542	"Arneb Ba"	1018	9.7	1.043	2.1	"verdant, hill, rock arche, valley, fungus forest"	"humid, subartic, temperate, frigid"
543	"Seth's Enigma Lambda"	5667	0.99	0.774	1.09	"reef, river, cave, cityscape"	"frozen, subartic, artificial temperate"
544	"Stellaria Crypt Si"	2660	0.58	1.304	0.76	"acid pool"	"subartic, superheated"
545	"Stellaria Crypt Liu"	2660	1.11	1.185	0.98	"cityscape, island"	"tropical, humid, windy, superheated"
546	"Altais Nemesisian"	8974	5.19	0.823	1.85	"forest, island, river, rocky island, tundra, lakes, lava river"	"frigid, subartic, frozen, rocky, superheated"
547	"Altais Artemian"	8974	1.1	1.569	0.89	"acid pool, grassland, lakes, swamp, forest, hill"	"subartic, windy, frigid, humid, arid"
548	"Altais Olympios"	8974	na	1.169	1.02	"plain"	"humid, superheated, artificial temperate, frigid, artic"
549	"Penumbrion Jiu"	4376	1.15	1.178	0.99	"plateau, canyons, grassland, fungus forest"	"tropical, subartic, arid, temperate"
550	"Penumbrion Liu"	4376	4.08	1.614	1.36	"plateau, lava river, rainforest, field, barren, savanna"	"arid, frozen, tropical, superheated, temperate, windy, frigid"
551	"Yozora Labyrinth Kappa"	9351	1.99	0.745	1.39	"ice canyon, cityscape, valley, lava river"	"windy, tropical, artic, superheated"
552	"Scarabian Cosmos XI"	7485	3.49	1.252	1.41	"cliff, desert"	"arid, frozen"
553	"Scarabian Cosmos XX"	7485	9.22	0.981	2.11	"ice cave, valley, cityscape, jungle, cave, sea, urban, field"	"artic, tropical, frozen, superheated, arid, subartic"
554	"Scarabian Cosmos VI"	7485	2.83	1.065	1.39	"savanna, jungle, rocky canyon"	"tropical, artic"
555	"Cassioflux Yi"	7064	0.44	1.389	0.68	"rocky island, lava river, verdant, field, cliff"	"rocky, artificial temperate, windy, hot, artic, subartic"
556	"Cassioflux Qi"	7064	2.15	0.922	na	"rocky island"	"arid, windy, rocky"
557	"Cassioflux Er"	7064	6.9	1.19	1.8	"hill, rocky island, river"	"artificial temperate, hot, humid, tropical"
558	"Nebuloria Titanos"	4574	2.03	1.506	1.1	"ice canyon, vine"	"superheated, hot, rocky, frozen"
559	"Nebuloria Hecatean"	4574	5.9	1.323	1.65	"sea, rocky canyon, savanna, urban"	"subartic, arid, superheated, artificial temperate"
560	"Nebuloria Hermian"	4574	4.5	1.297	na	"valley"	"windy, subartic"
561	"Quantum Radiance Oranos"	5075	3.25	1.687	1.24	"mountain, desert, vine, jungle, ocean, cliff"	"artic, artificial temperate, superheated, frozen"
562	"Astrum Quasar Yi"	8033	1.24	0.94	1.1	"savanna"	"artic, arid"
563	"Ma'at's Celestial Poseidian"	103	1.49	1.211	1.07	"rock arche, rainforest, city, forest, plateau"	"frigid, artic, humid, frozen, windy"
564	"Shogun's Loom Asclepian"	5598	1.81	1.313	1.11	"toxic cloudsea, jungle, ice cave, grassy hill"	"tropical, artic, rocky, temperate"
565	"Shogun's Loom Persephonian"	5598	1.04	1.184	0.96	"cityscape, rock arche"	"artificial temperate, temperate, arid"
566	"Shogun's Loom Sirenios"	5598	5.07	0.899	1.78	"urban, cave, swamp, rocky desert, valley, acid pool"	"humid, artic, windy, rocky, tropical"
567	"Unukalhai Duodecimal"	6160	3.28	1.432	1.32	"rocky desert, savanna"	"arid"
568	"Merope X"	3949	3.02	0.539	1.78	"jungle"	"windy, superheated"
569	"Alcor Octal"	8008	na	1.316	1.37	"barren"	"superheated, artificial temperate, arid, humid, tropical"
570	"Dracothra Undecimal"	1480	1.27	0.967	1.1	"jungle, field, grassy hill, river, ocean, fungus forest, toxic cloudsea, verdant"	"subartic, hot, artic, frozen, temperate"
571	"Procyon Morphean"	3243	1.82	1.014	1.22	"forest, glacier, savanna, reef"	"frigid, rocky, frozen, temperate, subartic"
572	"Uruk Poseidian"	4325	4.22	1.164	1.54	"field, fungus forest, savanna, bog, island, forest, hill, ocean, river"	"humid, superheated, artic, subartic, frigid, hot"
573	"Uruk Janusian"	5968	0.77	0.753	1.01	"cliff, canyons, rock arche"	"artificial temperate, frozen, artic"
574	"Stellarastrum Olympus"	9724	6.96	0.468	2.46	"tundra"	"artificial temperate, windy, frozen, tropical, temperate, frigid"
575	"Fjordfall Omega"	2911	1.33	0.898	1.14	"jungle, valley, forest, fungus forest, savanna, swamp, rocky desert, cliff, toxic cloudsea"	"subartic, tropical, arid, rocky, windy, frigid, artic"
576	"Ombraflux Yi"	8457	7.62	1.411	1.75	"verdant, fungus forest, rock arche"	"artificial temperate, arid, humid, frigid, temperate"
577	"Ombraflux Shi"	8457	1.24	0.932	1.1	"canyons, tundra, valley"	"rocky, arid, frozen, frigid, hot"
578	"Ombraflux Er"	8457	0.97	1.01	0.99	"ice canyon, savanna, rocky canyon, field, jungle"	"humid, rocky, frigid, tropical"
579	"Ombraflux Jiu"	8457	1.89	0.891	1.28	"city, sea, rocky canyon, cave, island"	"artificial temperate, arid, frigid"
580	"Aldhanab Poseidian"	2675	0.71	1.558	0.77	"sea, volcano"	"frozen, artificial temperate, windy, hot, rocky"
581	"Whispering Cosmos XVIII"	1775	0.81	1.239	0.87	"sea, urban, fungus forest"	"frozen, frigid, tropical, temperate, windy"
582	"Horus' Resonance X"	1318	8.4	0.734	2.25	"ash, cave"	"subartic, artificial temperate, hot"
583	"Horus' Resonance XVII"	1318	2.06	1.127	1.22	"rocky island, fungus forest, sinkholes, field"	"superheated, tropical, subartic, rocky, hot, frozen, arid"
584	"Algenib San"	3376	5.75	0.637	2.08	"rock arche"	"windy, arid"
585	"Algenib Yi"	3376	0.68	0.917	0.91	""	"windy"
586	"Nemea Residue Eta"	113	5.3	1.199	1.64	"island, forest, fungus forest"	"artic, hot, artificial temperate, frigid"
587	"Regulus Octal"	7278	5.26	0.897	1.8	"verdant"	"arid"
588	"Regulus Sextant"	7278	0.91	1.066	0.95	"lakes, rocky desert, toxic cloudsea, rock arche, city, savanna, grassland"	"artic, tropical, rocky, artificial temperate, humid, temperate"
589	"Torii Shadows Kappa"	3201	1.04	0.918	1.04	"cityscape, cliff, rocky canyon, river, mountain, sea"	"hot, frozen, arid, temperate"
590	"Achird San"	5987	2.2	0.774	1.42	"fungus forest, cave, jungle"	"subartic, hot"
591	"Achird Shi"	5987	5.72	1.018	1.78	"plateau, ice cave, fungus forest, field, jungle, ice canyon"	"windy, arid, frigid, humid, hot"
592	"Achird Ba"	5987	na	0.77	2.09	"rocky island, cliff, cave"	"humid, arid, subartic, superheated"
593	"Quantum Mirage Pi"	2784	5.47	0.985	1.77	"verdant"	"superheated, windy, humid"
594	"Cassionara Sextant"	2525	1.38	0.894	1.16	"sea, city, field"	"frigid, artic, superheated, artificial temperate, rocky, frozen"
595	"Cassionara Quartal"	2525	1.53	0.792	1.25	"cityscape, ocean, plain"	"artificial temperate, frozen, subartic"
596	"Kamikaze Ascendance Ba"	7714	1.21	1.034	1.05	"glacier"	"artic, frigid"
597	"Kamikaze Ascendance Wu"	7714	1.15	1.342	0.95	"rocky island, fungus forest, ice cave"	"humid, tropical, frozen"
598	"Kamikaze Ascendance Yi"	7714	4.5	1.185	1.56	"cave, ice canyon, ice cave"	"frozen, arid, superheated"
599	"Arkab Posterior VIII"	3036	0.97	1.286	0.91	"bog, jungle, ice canyon"	"subartic, tropical"
600	"Nebulithra Athenian"	7170	8.09	0.775	2.19	"plain, lakes, reef"	"humid, frigid, tropical"
601	"Zubenelhakrabi Duodecimal"	102	8.24	0.993	2.02	"rocky island, desert, urban"	"artificial temperate, frigid, rocky, subartic, frozen"
602	"Zubenelhakrabi Sextant"	102	7.8	1.062	1.94	"cliff"	"frigid, subartic"
603	"Zubenelhakrabi Decimal"	102	9.18	1.012	2.09	"rocky canyon"	"artificial temperate, rocky, frigid"
604	"Zubenelhakrabi Quintal"	102	4.09	1.12	1.54	"field, city, cliff, ice cave"	"tropical, temperate, frigid, frozen, humid"
605	"Stellar Whisper Ba"	8919	1.01	1.256	0.93	"cave, city, cityscape, acid pool, canyons, toxic cloudsea, tundra"	"superheated, arid, windy, artic, frozen, hot, rocky"
606	"Stellar Whisper Er"	8919	1.29	0.728	1.21	"rainforest, toxic cloudsea"	"humid, subartic, artic"
607	"Cosmic Shadows Jiu"	4469	5.85	1.392	1.61	"ocean"	"frigid"
608	"Cosmic Shadows Ba"	4469	2.19	1.05	1.28	"mountain, ocean, swamp, cave"	"humid, windy, artic, subartic"
609	"Solarionis Lambda"	6386	2.29	0.613	na	"cityscape, toxic cloudsea, vine, cliff, plateau"	"frozen, rocky, tropical"
610	"Yurei Celestial VIII"	5928	5.71	1.262	1.65	"acid pool, lava river, rocky canyon, vine, river, cliff, ocean, sea"	"artificial temperate, rocky, windy, arid, frozen, superheated"
611	"Cosmara Jiu"	5788	1.92	1.058	na	"sea, rocky desert, river, barren, sinkholes"	"tropical, superheated, artic, subartic, arid"
612	"Cosmara Er"	5788	3.08	0.883	1.52	"urban, lakes, rock arche"	"hot, artificial temperate"
613	"Cosmara Qi"	5788	1.94	1.052	1.23	"cliff, volcano, ocean"	"humid, frozen, temperate, superheated, frigid"
614	"Cosmara Yi"	5788	1.21	1.057	1.05	"urban, vine"	"artificial temperate, hot, tropical, windy, frigid"
615	"Seginus Rho"	250	3.98	0.999	1.59	"island, tundra, cliff, acid pool, canyons, valley, swamp, rocky canyon"	"superheated, subartic, rocky, tropical, frigid, windy"
616	"Aetherial Mirage Astraeos"	3486	3.74	0.094	3.42	"desert, swamp, mountain, cliff"	"hot, rocky, tropical, artificial temperate"
617	"Runeblade Zephyrian"	1462	2.42	1.326	1.22	"verdant, sea, island, field"	"rocky, subartic, hot"
618	"Spectral Serenity Sextant"	3155	1.62	1.056	1.15	"fungus forest"	"hot, temperate, artificial temperate, humid, arid, subartic"
619	"Cassionix XVII"	484	1.9	1.061	1.21	"grassy hill, plain"	"temperate, arid, superheated, tropical"
620	"Cassionix XI"	484	6.5	0.999	1.87	"bog, verdant, savanna"	"windy, frozen, arid, hot, artificial temperate"
621	"Atria XXII"	2600	0.67	1.088	0.85	"sea, island"	"frigid, windy, artic, subartic, rocky"
622	"Cosmaronix Phi"	4409	7.04	1.081	1.87	"plain, verdant, cliff, swamp, ice canyon, canyons"	"artic, frigid, hot, tropical"
623	"Cosmaronix Iota"	4409	1.33	1.202	1.03	"scrubland, desert, savanna, plain, ocean"	"tropical, artic, arid"
624	"Cosmaronix Mu"	4409	9.74	0.693	2.41	"glacier, bog"	"frigid, artificial temperate, artic, hot, windy"
625	"Pulsariana XVI"	9144	6.38	1.284	1.71	"forest, savanna, verdant"	"windy, tropical, rocky"
626	"Pulsariana XII"	9144	6.51	1.339	1.69	"field, verdant, river, cave"	"temperate, frigid, humid, tropical, windy, frozen"
627	"Quantum Gaze Faunios"	6166	6.53	1.231	1.74	"vine"	"subartic, windy, artificial temperate, tropical"
628	"Furud Zephyrian"	1777	0.58	1.131	0.8	"cliff, rainforest, barren"	"tropical, arid"
629	"Furud Persephonian"	1777	2.45	0.744	1.49	"hill, ice cave, savanna"	"superheated, windy, tropical, subartic, artic"
630	"Furud Nyxios"	1777	1.06	1.111	0.98	"jungle"	"hot, arid, subartic"
631	"Celestros Typhonian"	9245	1.34	0.998	1.1	"savanna, jungle"	"tropical, frozen, superheated, subartic"
632	"Stardrake Hadean"	5954	na	1.07	1.69	"rocky desert, vine, mountain"	"artificial temperate, arid, humid, windy, rocky, temperate"
633	"Stardrake Artemian"	5954	4.05	0.882	1.66	"grassy hill, acid pool"	"superheated, artificial temperate"
634	"Stardrake Zephyrian"	5954	6.94	0.85	2.01	"field, island, rock arche, valley, sea, ice canyon"	"artificial temperate, frigid, windy, humid, temperate"
635	"Vortexith XIX"	6929	8.17	1.093	1.96	"lakes"	"temperate, superheated, arid, tropical"
636	"Rastaban Rho"	8088	9.08	0.938	2.13	"bog, cliff, grassy hill"	"frigid, humid, frozen, rocky"
637	"Rastaban Psi"	8088	3.69	0.954	1.57	"hill, plain, acid pool"	"rocky, subartic, tropical"
638	"Grumium Pantheon"	4441	5.17	0.708	1.94	"tundra"	"rocky"
639	"Luminous Wraith Psychean"	6253	2.61	0.867	1.44	"plateau, verdant, barren"	"arid, artic"
640	"Okab Quintal"	4984	1.33	1.013	1.09	"river, ash, plateau, grassy hill, savanna, ice cave, cave"	"frozen, subartic, superheated, temperate, humid, windy"
641	"Okab Septimal"	4984	2.03	1.183	1.2	"island, rock arche, lakes, verdant, sinkholes, ice canyon, cityscape"	"superheated, tropical, subartic, temperate, artic"
642	"Okab Nonal"	4984	1.07	1.063	1	"rocky desert, scrubland, barren, vine"	"subartic, arid, artic, humid, rocky"
643	"Okab Decimal"	4984	7.98	0.823	na	"canyons, scrubland, mountain, lakes, hill"	"temperate, windy, arid, superheated, subartic"
644	"Ankh Horizon Psi"	2577	9.29	0.684	2.39	"rocky island, fungus forest, mountain"	"windy, hot, artificial temperate"
645	"Lionrock VIII"	7952	7.78	1.302	1.81	"lakes, grassy hill, plain, river"	"windy, frigid, artificial temperate, hot, subartic"
646	"Lionrock XVII"	7952	4.16	0.651	1.86	"bog, rock arche, river, cave"	"rocky, temperate, subartic"
647	"Rimeblade Atlasios"	8762	3.38	0.755	1.65	"vine"	"arid"
648	"Rimeblade Hermian"	8762	0.72	1.248	0.83	"mountain"	"humid, artificial temperate"
649	"Rimeblade Nymphios"	8762	7.64	1.07	1.93	"grassy hill, island"	"rocky, arid, hot, temperate, subartic, humid"
650	"Bélénos Septimal"	7421	6.97	1.413	1.7	"island, savanna, vine, ocean"	"temperate, windy, tropical, artic"
651	"Helvetios Eta"	9505	3.8	1.216	1.46	"tundra, plain"	"frigid, hot, windy, subartic, arid"
652	"Helvetios Mu"	9505	3.6	0.656	1.76	"ash, cave, valley, verdant"	"superheated, artic, frigid, arid, hot"
653	"Poerava Qi"	4255	8.4	0.774	2.21	"rocky desert, cityscape, plateau"	"subartic, superheated, arid, frozen"
654	"Poerava Jiu"	4255	7.5	1.08	na	"jungle, savanna, vine"	"rocky, temperate, superheated, arid"
655	"Poerava Si"	4255	3.75	1.273	1.43	"fungus forest, savanna, sea, rocky island"	"humid, tropical, frozen"
656	"Poerava San"	4255	1.19	0.877	1.11	"acid pool, rocky canyon, island, cityscape, mountain"	"artificial temperate, superheated, tropical, subartic"
657	"Alderamin XIX"	1245	5.65	1.061	1.75	"toxic cloudsea, reef, island, scrubland, rocky island"	"artificial temperate, arid, frozen"
658	"Alderamin XIII"	1245	6.93	1.32	1.74	"hill, sinkholes, jungle"	"artic, subartic, hot, windy"
659	"Nekkar Zephyrian"	8409	1.26	0.711	1.21	"reef, ice canyon, bog, ice cave, sea, hill"	"windy, frigid, subartic, hot, frozen"
660	"Nekkar Centaurios"	8409	3.2	1.112	1.42	"rocky desert, jungle, field, reef, river, sinkholes"	"windy, artic, frozen, hot, arid"
661	"Botein Hermian"	2202	0.8	1.524	0.81	"rocky canyon, valley, rocky island, ash, urban"	"artificial temperate, windy, superheated, arid, subartic"
662	"Botein Hestian"	2202	0.45	1.081	0.75	"plain"	"arid, temperate, artic, humid, frigid"
663	"Botein Astraeos"	2202	3.06	0.807	1.56	"scrubland, cave, rock arche"	"frigid, arid, subartic, rocky"
664	"Botein Sirenios"	2202	3.05	1.191	1.37	"vine, ocean, rocky canyon, valley, mountain, lava river"	"artic, frozen, frigid, subartic, arid"
665	"Fjellstone Quintal"	9036	1.2	0.812	1.14	"rocky island"	"rocky, artic, superheated, humid, frozen"
666	"Fjellstone Tertial"	9036	7.18	0.984	1.94	"cityscape, valley"	"arid, rocky"
667	"Fjellstone Prime"	9036	8.23	0.996	2.02	"cliff, lava river, rocky canyon"	"arid, frozen, frigid, superheated"
668	"Fjellstone Nonal"	9036	2	0.87	1.32	"urban"	"frigid"
669	"Axólotl Tau"	3573	1.1	1.343	0.94	"cliff, cityscape, island, river, rock arche, rocky canyon, tundra"	"arid, artificial temperate, rocky, tropical, temperate"
670	"Axólotl Sigma"	3573	2.03	0.595	1.51	"forest, island, sea, ice cave, rock arche, grassy hill, rocky island"	"artic, hot, rocky, superheated, temperate, arid"
671	"Vermilion Expanse Hermian"	1708	2.38	1.071	1.31	"rocky canyon, cliff, plateau, cityscape, rainforest, bog, field"	"arid, temperate, tropical, hot, subartic, windy, rocky"
